,compass_degrees,compass_point,compass_right,compass_up,ct,sol
0,0,N,0,1,952.8,709
1,22.5,NNE,0.382683432,0.923879533,1011.6,709
2,45,NE,0.707106781,0.707106781,1198.2,709
3,67.5,ENE,0.923879533,0.382683432,906.6,709
4,112.5,ESE,0.923879533,-0.382683432,2413.2,709
5,135,SE,0.707106781,-0.707106781,546,709
6,157.5,SSE,0.382683432,-0.923879533,987.6,709
7,180,S,0,-1,453.6,709
8,202.5,SSW,-0.382683432,-0.923879533,1348.2,709
9,225,SW,-0.707106781,-0.707106781,12411,709
10,247.5,WSW,-0.923879533,-0.382683432,2525.4,709
11,270,W,-1,0,21247.8,709
12,292.5,WNW,-0.923879533,0.382683432,4137.6,709
13,315,NW,-0.707106781,0.707106781,1293,709
14,337.5,NNW,-0.382683432,0.923879533,603,709